contentId,id,addr1,addr2
24467,2741558,경기도 가평군 ,경기도 가평군 북면
24468,2741560,충청북도 보은군 ,충청북도 보은군 장안면
24469,2741567,전라남도 장성군 ,전라남도 장성군 북하면
24470,2741568,경기도 평택시 ,경기도 평택시 우곡길
24471,2741569,경기도 평택시 ,경기도 평택시 안중읍
24472,2741570,경기도 안성시 ,경기도 안성시 미양면
24473,2741571,서울특별시 강동구 ,서울특별시 강동구 구천면로34길
24474,2741572,경기도 평택시 ,경기도 평택시 만세로
24475,2741573,경기도 평택시 ,경기도 평택시 탄현로
24476,2741574,경기도 화성시 ,경기도 화성시 동탄반석로
24477,2741575,경기도 평택시 ,경기도 평택시 진위면
24478,2741578,경기도 평택시 ,경기도 평택시 만세로
24479,2741583,서울특별시 관악구 ,서울특별시 관악구 남부순환로
24480,2741590,서울특별시 강북구 ,서울특별시 강북구 노해로23길
24481,2741591,서울특별시 강북구 ,서울특별시 강북구 도봉로
24482,2741592,서울특별시 강북구 ,서울특별시 강북구 도봉로71길
24483,2741593,경기도 부천시 ,경기도 부천시 송내대로
24484,2741594,서울특별시 강북구 ,서울특별시 강북구 노해로17길
24485,2741595,경상남도 밀양시 ,경상남도 밀양시 밀양대공원로
24486,2741597,경기도 부천시 ,경기도 부천시 부천로
24487,2741598,서울특별시 강북구 ,서울특별시 강북구 삼양로
24488,2741599,경기도 수원시 ,경기도 수원시 장안구
24489,2741600,경상남도 밀양시 ,경상남도 밀양시 산외면
24490,2741601,경기도 부천시 ,경기도 부천시 지봉로51번길
24491,2741602,서울특별시 강동구 ,서울특별시 강동구 상암로11길
24492,2741603,경기도 수원시 ,경기도 수원시 권선구
24493,2741604,경기도 수원시 ,경기도 수원시 팔달구
24494,2741605,서울특별시 강동구 ,서울특별시 강동구 천호대로187길
24495,2741606,경기도 수원시 ,경기도 수원시 장안구
24496,2741607,경기도 부천시 ,경기도 부천시 은성로76번길
24497,2741608,서울특별시 관악구 ,서울특별시 관악구 남부순환로246나길
24498,2741609,경기도 평택시 ,경기도 평택시 장안웃길
24499,2741610,서울시강동구 천호동,서울시강동구 천호동
24500,2741611,경기도 안성시 ,경기도 안성시 공도읍
24501,2741612,경기도 평택시 ,경기도 평택시 현덕면
